ID,CPF,Nome,Idade,Data_Cadastro
1,123.456.789-00,Ana Beatriz,29,2024-05-10
2,123.456.789-01,Ana Paula,35,2024-04-22
3,123.456.789-02,Ana Clara,40,2024-04-15
4,234.567.890-10,Carlos Henrique,42,2024-03-30
5,234.567.890-11,Carlos Eduardo,33,2024-03-25
6,345.678.901-00,Maria Fernanda,60,2024-01-05
7,345.678.901-01,Maria Clara,28,2023-12-12
8,345.678.901-02,Maria Luiza,31,2023-12-01
9,456.789.012-33,Marcos Paulo,47,2023-10-19
10,456.789.012-34,Marcela Pontes,39,2023-10-10
11,567.890.123-00,João Pedro,27,2023-09-28
12,567.890.123-01,Joana Prado,36,2023-09-15
13,678.901.234-56,Larissa Oliveira,38,2023-08-01
14,678.901.234-57,Larissa Lima,25,2023-07-20
15,789.012.345-66,Felipe Almeida,44,2023-06-11
